"word1","word2","n"
"28","coronavirus",12
"4119","11ea",12
"50","million",12
"6","people",12
"800","globally",12
"800","people",12
"830","infected",12
"aid","wuhan",12
"airport","coronavirus",12
"amid","fears",12
"amid","travel",12
"apple's","iphone",12
"asia's","tourism",12
"authority","decided",12
"bat","soup",12
"bdb5","169ba7be433d",12
"beer","virus",12
"beijing's","forbidden",12
"billionaire","investor",12
"build","2nd",12
"china","infects",12
"china","races",12
"china","rises",12
"china","shanghai",12
"china's","history",12
"china’s","economy",12
"china’s","wuhan",12
"climbs","charts",12
"close","section",12
"cnb.cx","37a14sx",12
"content","f3fcdc5a",12
"corona","beer",12
"coronavirus","academic",12
"coronavirus","chinavirus",12
"coronavirus","concerns",12
"coronavirus","impact",12
"coronavirus","symptoms",12
"coronavirus","xi",12
"country","reported",12
"craig","dillon",12
"craziest","monetary",12
"current","stock",12
"deadly","china",12
"death","confirmed",12
"deserted","streets",12
"disease","outbreak",12
"disrupt","apple's",12
"drone","footage",12
"emergency","41",12
"epicenter","wuhan",12
"epicentre","official",12
"epidemic","control",12
"examining","china’s",12
"explosive","billionaire",12
"f3fcdc5a","4119",12
"festival","holiday",12
"finland’s","dropping",12
"fiscal","mix",12
"fourth","death",12
"front","line",12
"game","plague",12
"global","airlines",12
"global","markets",12
"government's","response",12
"health","screenings",12
"helping","doctors",12
"history","it’s",12
"hit","china",12
"hospitals","worldwide",12
"identifying","people",12
"including","7",12
"increasing","health",12
"india","issues",12
"infected","china",12
"infected","live",12
"infected","rises",12
"infection","spreads",12
"infects","dozens",12
"intelligence","examining",12
"investor","paul",12
"japan","reported",12
"keqiang","arrives",12
"leader","declares",12
"limit","coronavirus",12
"local","authority",12
"lockdown","finland’s",12
"lost","time",12
"man's","vitals",12
"market","run",12
"markets","reel",12
"masks","amid",12
"mobilizing","medical",12
"monetary","fiscal",12
"ncov","outbreak",12
"ndtv.com","news",12
"news","studies",12
"offers","china",12
"office","reviews",12
"office","weekend",12
"official","contact",12
"official","cover",12
"officials","announce",12
"officials","race",12
"on.rt.com","a9v1",12
"ordeal","craig",12
"outbreak","breaking",12
